,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
HGV H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.229,0.343,0.458,0.572,0.687,0.801,0.916,1.030,1.145,0.845,0.384,0.000,0.000,0.000,0.000,
LDV H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.126,0.252,0.377,0.503,0.629,0.755,0.880,1.006,1.132,1.258,1.383,1.509,1.635,1.761,1.886,2.012,
Motorbike H2 demand [kt/y],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.006,0.006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car electricity demand [GWh/y],0.000,7.126,14.252,21.378,28.503,35.629,42.755,49.881,57.007,64.133,71.259,78.385,85.510,92.636,99.762,106.888,114.014,121.140,128.266,135.391,142.517,149.643,156.769,163.895,171.021,178.147,185.272,192.398,199.524,
Bus electricity demand [GWh/y],0.000,6.607,13.214,19.821,26.429,33.036,39.643,46.250,52.857,59.464,66.072,72.679,79.286,85.893,92.500,99.107,105.715,112.322,118.929,125.536,132.143,138.750,145.358,151.965,158.572,165.179,171.786,178.393,185.000,
HGV electricity demand [GWh/y],0.000,1.606,3.213,4.819,6.425,8.031,9.638,11.244,12.850,14.457,16.063,17.669,19.275,20.882,22.488,24.094,25.701,27.307,28.913,30.519,32.126,33.732,35.338,36.944,38.551,40.157,41.763,43.370,44.976,
LDV electricity demand [GWh/y],0.000,1.776,3.552,5.329,7.105,8.881,10.657,12.434,14.210,15.986,17.762,19.539,21.315,23.091,24.867,26.644,28.420,30.196,31.972,33.749,35.525,37.301,39.077,40.854,42.630,44.406,46.182,47.959,49.735,
Motorbike electricity demand [GWh/y],0.000,0.016,0.032,0.048,0.065,0.081,0.097,0.113,0.129,0.145,0.161,0.178,0.194,0.210,0.226,0.242,0.258,0.274,0.291,0.307,0.323,0.339,0.355,0.371,0.387,0.404,0.420,0.436,0.452,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalised fuel consumption,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Tonnes_of_oil_equivalent_(toe),https://www.insee.fr/en/metadonnees/definition/c1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total petrol demand [PJ/year],4333.318,4376.505,4385.789,4395.073,4404.357,4413.641,4422.925,4432.209,4441.493,4450.777,4460.061,4469.345,4478.629,4314.567,4118.602,3922.638,3726.673,3531.376,3482.256,3574.611,3666.967,3740.786,3781.873,3860.896,3954.587,4048.278,4141.970,4235.661,4329.352,
Total diesel demand [PJ/year],10736.784,10397.249,9915.367,9433.485,8951.603,8469.721,7987.839,7505.957,7024.074,6542.192,6060.310,5578.428,5096.546,4654.168,4248.226,3842.284,3436.342,3055.581,2864.211,2544.248,2224.286,1927.434,1671.387,1415.341,1159.294,903.248,647.201,391.155,135.108,
Total other fuel demand [PJ/year],464.088,318.367,481.445,644.523,807.601,970.679,1133.756,1296.834,1459.912,1622.990,1786.068,1949.146,2112.224,2275.302,2438.380,2601.458,2764.536,2900.156,2698.850,2496.980,2295.111,2093.241,1891.372,1689.502,1487.633,1282.561,1061.361,840.161,618.961,
Total H2 demand [PJ/year],0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68.331,136.661,204.992,273.322,341.653,409.983,478.314,546.644,614.975,683.306,751.636,819.967,888.297,956.628,1024.958,1093.289,
Total electricity demand [PJ/year],0.000,0.062,0.123,0.185,0.247,0.308,0.370,0.432,0.493,0.555,0.617,0.678,0.740,0.802,0.863,0.925,0.987,1.048,1.110,1.172,1.233,1.295,1.357,1.419,1.480,1.542,1.604,1.665,1.727,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
