,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
   Electric,0.000,0.353,0.707,1.060,1.413,1.767,2.120,2.473,2.827,3.180,3.533,3.886,4.240,4.593,4.946,5.300,5.653,6.006,6.360,6.713,7.066,7.420,7.773,8.126,8.480,8.833,9.186,9.540,9.893,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car fuel cost [m£/year],285.850,280.614,276.960,273.307,269.653,266.000,262.346,258.693,255.039,251.386,247.732,244.079,240.425,235.247,230.068,224.890,219.711,214.533,210.110,206.458,202.805,199.152,195.499,191.846,188.193,184.540,180.887,177.234,173.581,
   Diesel,100.394,101.180,101.967,102.754,103.540,104.327,105.114,105.900,106.687,107.474,108.260,109.047,109.833,109.833,109.833,109.833,109.833,109.833,104.894,94.931,84.967,75.003,65.040,55.076,45.112,35.149,25.185,15.221,5.258,
   Petrol,168.446,166.254,156.889,147.525,138.160,128.795,119.430,110.065,100.700,91.335,81.970,72.605,63.240,51.751,40.262,28.772,17.283,5.794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,8.254,11.297,14.339,17.381,20.423,23.465,26.507,29.549,32.591,35.633,38.676,41.718,44.760,47.802,50.844,53.886,56.928,59.970,63.012,66.055,69.097,72.139,75.181,78.223,81.265,84.307,87.349,90.391,93.434,
   Other fuel,8.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,1.883,3.765,5.648,7.531,9.413,11.296,13.179,15.061,16.944,18.827,20.709,22.592,24.474,26.357,28.240,30.122,32.005,33.888,35.770,37.653,39.536,41.418,43.301,45.184,47.066,48.949,50.832,52.714,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.386,2.772,4.158,5.544,6.930,8.316,9.702,11.088,12.474,13.860,15.246,16.632,18.018,19.404,20.790,22.176,
Car emission cost [m£/year],109.012,110.788,112.611,114.307,115.876,117.317,118.631,119.817,120.876,118.976,117.058,115.125,113.175,109.778,106.355,102.906,99.430,95.928,92.302,88.550,84.769,80.961,77.125,73.261,69.370,65.451,61.504,57.529,53.527,
   Diesel,42.929,44.786,46.666,48.571,50.499,52.450,54.426,56.424,58.447,59.086,59.729,60.374,61.023,61.236,61.449,61.662,61.875,62.088,59.499,54.032,48.525,42.980,37.397,31.775,26.114,20.414,14.676,8.900,3.084,
   Petrol,60.286,61.593,60.097,58.366,56.398,54.196,51.757,49.083,46.174,42.028,37.852,33.645,29.408,24.149,18.853,13.520,8.149,2.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,3.056,4.329,5.681,7.113,8.623,10.213,11.882,13.630,15.457,16.960,18.473,19.996,21.529,23.072,24.626,26.190,27.764,29.348,30.943,32.548,34.163,35.788,37.423,39.069,40.725,42.391,44.067,45.754,47.450,
   Other fuel,2.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,0.081,0.167,0.258,0.355,0.458,0.566,0.680,0.798,0.901,1.005,1.110,1.215,1.321,1.427,1.534,1.642,1.751,1.860,1.970,2.081,2.193,2.305,2.418,2.531,2.645,2.760,2.876,2.993,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Car total cost [m£/year],394.862,391.402,389.572,387.614,385.529,383.317,380.977,378.510,375.916,370.362,364.791,359.204,353.600,345.025,336.424,327.796,319.142,310.461,302.413,295.007,287.574,280.112,272.624,265.107,257.563,249.991,242.391,234.763,227.108,
Net specific cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.201,0.203,0.205,0.208,0.210,0.212,0.214,0.216,0.218,0.218,0.219,0.219,0.219,0.220,0.220,0.220,0.220,0.221,0.221,0.221,0.221,0.222,0.222,0.222,0.223,0.223,0.223,0.223,0.224,
   Petrol,0.221,0.223,0.225,0.227,0.229,0.231,0.233,0.235,0.237,0.237,0.238,0.238,0.238,0.238,0.239,0.239,0.239,0.239,0.240,0.240,0.240,0.240,0.241,0.241,0.241,0.242,0.242,0.242,0.242,
   HEV,0.156,0.158,0.159,0.161,0.162,0.164,0.165,0.167,0.168,0.168,0.169,0.169,0.169,0.169,0.169,0.169,0.170,0.170,0.170,0.170,0.170,0.171,0.171,0.171,0.171,0.171,0.172,0.172,0.172,
   Other fuel,0.260,0.263,0.265,0.267,0.269,0.271,0.274,0.276,0.278,0.278,0.279,0.279,0.279,0.279,0.280,0.280,0.280,0.280,0.281,0.281,0.281,0.282,0.282,0.282,0.282,0.283,0.283,0.283,0.284,
   Electric,0.077,0.077,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,
   Hydrogen,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,
,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Bus milage [Mmiles/year],214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,214.963,
   Diesel,204.069,197.320,185.593,173.867,162.140,150.414,138.688,126.961,115.235,103.508,91.782,80.056,68.329,54.453,40.577,26.701,12.825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,4.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.005,3.085,6.165,9.245,12.325,15.405,18.485,21.565,24.645,27.725,30.805,33.885,36.965,40.045,43.125,46.205,49.285,52.365,55.445,58.525,61.605,64.685,67.765,70.845,73.925,77.005,80.085,83.165,86.245,
   Other fuel,5.913,11.627,17.342,23.057,28.772,34.486,40.201,45.916,51.631,57.345,63.060,68.775,74.490,80.204,85.919,91.634,97.349,102.013,93.851,85.690,77.529,69.368,61.206,53.045,44.884,36.723,28.561,20.400,12.239,
   Electric,0.000,2.932,5.863,8.795,11.726,14.658,17.590,20.521,23.453,26.384,29.316,32.248,35.179,38.111,41.042,43.974,46.906,49.837,52.769,55.700,58.632,61.564,64.495,67.427,70.358,73.290,76.222,79.153,82.085,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.150,4.299,6.449,8.599,10.748,12.898,15.047,17.197,19.347,21.496,23.646,25.796,27.945,30.095,32.244,34.394,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus annual change [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,,-3.140,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-5.455,-6.455,-6.455,-6.455,-6.455,-5.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,,-2.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,
   Other fuel,,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.170,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,-3.797,
   Electric,,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,
   Hydrogen,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus emissions [ktCO2/year],15.812,15.579,15.421,15.263,15.105,14.947,14.789,14.630,14.472,14.314,14.156,13.998,13.840,13.524,13.208,12.891,12.575,12.270,12.100,11.929,11.759,11.588,11.418,11.248,11.077,10.907,10.736,10.566,10.395,
   Diesel,14.999,14.503,13.641,12.779,11.917,11.055,10.194,9.332,8.470,7.608,6.746,5.884,5.022,4.002,2.982,1.963,0.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.013,0.027,0.040,0.053,0.067,0.080,0.094,0.107,0.120,0.134,0.147,0.160,0.174,0.187,0.201,0.214,0.227,0.241,0.254,0.267,0.281,0.294,0.307,0.321,0.334,0.348,0.361,0.374,
   Other fuel,0.372,0.733,1.093,1.453,1.813,2.173,2.533,2.893,3.253,3.613,3.973,4.333,4.693,5.053,5.413,5.773,6.133,6.427,5.913,5.398,4.884,4.370,3.856,3.342,2.828,2.314,1.799,1.285,0.771,
   Electric,0.000,0.330,0.661,0.991,1.321,1.652,1.982,2.313,2.643,2.973,3.304,3.634,3.964,4.295,4.625,4.955,5.286,5.616,5.946,6.277,6.607,6.938,7.268,7.598,7.929,8.259,8.589,8.920,9.250,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus fuel cost [m£/year],206.263,202.839,200.368,197.897,195.426,192.955,190.485,188.014,185.543,183.072,180.601,178.130,175.660,172.209,168.759,165.309,161.859,158.564,157.169,155.773,154.378,152.982,151.586,150.191,148.795,147.399,146.004,144.608,143.212,
   Diesel,195.737,189.263,178.015,166.768,155.520,144.272,133.025,121.777,110.530,99.282,88.035,76.787,65.539,52.230,38.920,25.611,12.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,5.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.004,2.399,4.795,7.191,9.587,11.983,14.379,16.774,19.170,21.566,23.962,26.358,28.754,31.149,33.545,35.941,38.337,40.733,43.129,45.524,47.920,50.316,52.712,55.108,57.504,59.899,62.295,64.691,67.087,
   Other fuel,4.796,9.431,14.066,18.702,23.337,27.972,32.607,37.243,41.878,46.513,51.149,55.784,60.419,65.055,69.690,74.325,78.960,82.743,76.124,69.504,62.884,56.265,49.645,43.025,36.406,29.786,23.166,16.547,9.927,
   Electric,0.000,1.746,3.491,5.237,6.982,8.728,10.474,12.219,13.965,15.711,17.456,19.202,20.947,22.693,24.439,26.184,27.930,29.675,31.421,33.167,34.912,36.658,38.403,40.149,41.895,43.640,45.386,47.132,48.877,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.083,2.165,3.248,4.330,5.413,6.495,7.578,8.661,9.743,10.826,11.908,12.991,14.074,15.156,16.239,17.321,
Bus emission cost [m£/year],3.486,3.556,3.639,3.720,3.799,3.875,3.949,4.020,4.088,4.058,4.027,3.996,3.965,3.888,3.810,3.732,3.653,3.577,3.539,3.501,3.463,3.424,3.385,3.346,3.307,3.267,3.226,3.186,3.145,
   Diesel,3.307,3.310,3.219,3.115,2.997,2.866,2.722,2.564,2.393,2.157,1.919,1.680,1.439,1.151,0.860,0.568,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.003,0.006,0.010,0.013,0.017,0.021,0.026,0.030,0.034,0.038,0.042,0.046,0.050,0.054,0.058,0.062,0.066,0.070,0.075,0.079,0.083,0.087,0.091,0.096,0.100,0.104,0.109,0.113,
   Other fuel,0.082,0.167,0.258,0.354,0.456,0.563,0.676,0.795,0.919,1.024,1.130,1.237,1.345,1.453,1.562,1.671,1.782,1.873,1.729,1.584,1.438,1.291,1.143,0.994,0.844,0.693,0.541,0.387,0.233,
   Electric,0.000,0.075,0.156,0.242,0.332,0.428,0.529,0.635,0.747,0.843,0.940,1.037,1.136,1.235,1.334,1.435,1.536,1.637,1.739,1.842,1.946,2.050,2.155,2.260,2.367,2.474,2.581,2.689,2.798,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Bus total cost [m£/year],209.749,206.395,204.007,201.617,199.225,196.830,194.433,192.033,189.631,187.130,184.629,182.127,179.625,176.097,172.570,169.041,165.512,162.141,160.708,159.274,157.840,156.406,154.972,153.537,152.101,150.666,149.230,147.794,146.357,
Net specific cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.975,0.976,0.977,0.977,0.978,0.978,0.979,0.979,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.980,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,
   Petrol,1.170,1.171,1.172,1.172,1.173,1.174,1.174,1.175,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,1.177,
   HEV,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,0.779,
   Other fuel,0.825,0.825,0.826,0.826,0.827,0.827,0.828,0.828,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.829,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,0.830,
   Electric,0.620,0.621,0.622,0.623,0.624,0.625,0.626,0.626,0.627,0.627,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.630,
   Hydrogen,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,
,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
HGV milage [Mmiles/year],79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,79.032,
   Diesel,78.874,72.461,66.049,59.637,53.224,46.812,40.400,33.987,27.575,21.163,14.750,8.338,1.926,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.072,2.173,4.274,6.375,8.476,10.577,12.678,14.779,16.880,18.981,21.082,23.183,25.284,22.108,17.007,11.905,6.804,1.702,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,1.132,2.265,3.397,4.530,5.662,6.794,7.927,9.059,10.191,11.324,12.456,13.589,14.721,15.853,16.986,18.118,19.251,16.984,13.014,9.045,5.076,1.107,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.087,2.188,4.289,6.390,8.491,10.592,12.693,14.794,16.895,18.996,21.098,23.199,25.300,27.401,29.502,31.603,33.704,35.805,37.906,40.007,42.108,44.209,46.310,48.411,50.512,52.087,51.009,49.931,48.853,
   Electric,0.000,1.078,2.156,3.233,4.311,5.389,6.467,7.545,8.623,9.700,10.778,11.856,12.934,14.012,15.089,16.167,17.245,18.323,19.401,20.478,21.556,22.634,23.712,24.790,25.868,26.945,28.023,29.101,30.179,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.790,1.581,2.371,3.161,3.952,4.742,5.532,6.323,7.113,7.903,5.831,2.652,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGV annual change [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-8.114,-2.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,-4.018,-6.455,-6.455,-6.455,-6.455,-2.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,1.433,-2.869,-5.022,-5.022,-5.022,-5.022,-1.400,0.000,0.000,0.000,0.000,0.000,
   Other fuel,,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,2.658,1.992,-1.364,-1.364,-1.364,
   Electric,,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,1.364,
   Hydrogen,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,-2.622,-4.022,-3.356,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGV emissions [ktCO2/year],111.031,108.811,106.590,104.369,102.148,99.928,97.707,95.486,93.265,91.044,88.824,86.603,84.382,81.051,77.720,74.389,71.058,67.727,66.758,66.972,67.186,67.400,67.613,69.860,72.892,75.184,73.750,72.316,70.882,
   Diesel,110.809,101.800,92.792,83.783,74.774,65.766,56.757,47.748,38.740,29.731,20.723,11.714,2.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.101,3.052,6.004,8.956,11.908,14.859,17.811,20.763,23.715,26.666,29.618,32.570,35.522,31.060,23.893,16.726,9.558,2.391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.804,1.608,2.412,3.216,4.020,4.824,5.628,6.432,7.236,8.040,8.844,9.648,10.452,11.256,12.060,12.864,13.668,12.058,9.240,6.422,3.604,0.786,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.122,3.074,6.026,8.977,11.929,14.881,17.833,20.784,23.736,26.688,29.640,32.591,35.543,38.495,41.447,44.398,47.350,50.302,53.254,56.205,59.157,62.109,65.061,68.013,70.964,73.176,71.662,70.148,68.634,
   Electric,0.000,0.080,0.161,0.241,0.321,0.402,0.482,0.562,0.643,0.723,0.803,0.883,0.964,1.044,1.124,1.205,1.285,1.365,1.446,1.526,1.606,1.687,1.767,1.847,1.928,2.008,2.088,2.168,2.249,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGV fuel cost [m£/year],58.138,56.363,54.587,52.812,51.037,49.261,47.486,45.710,43.935,42.160,40.384,38.609,36.834,35.220,33.663,32.107,30.551,28.994,27.918,27.082,26.247,25.411,24.576,23.232,21.691,20.441,20.662,20.883,21.104,
   Diesel,58.071,53.350,48.629,43.908,39.187,34.466,29.744,25.023,20.302,15.581,10.860,6.139,1.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.051,1.535,3.020,4.504,5.989,7.474,8.958,10.443,11.928,13.412,14.897,16.381,17.866,15.622,12.017,8.412,4.808,1.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.640,1.280,1.920,2.560,3.201,3.841,4.481,5.121,5.761,6.401,7.041,7.681,8.322,8.962,9.602,10.242,10.882,9.601,7.357,5.113,2.869,0.626,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.016,0.413,0.810,1.206,1.603,1.999,2.396,2.793,3.189,3.586,3.982,4.379,4.776,5.172,5.569,5.965,6.362,6.759,7.155,7.552,7.948,8.345,8.742,9.138,9.535,9.832,9.629,9.425,9.222,
   Electric,0.000,0.424,0.849,1.273,1.698,2.122,2.546,2.971,3.395,3.819,4.244,4.668,5.093,5.517,5.941,6.366,6.790,7.214,7.639,8.063,8.488,8.912,9.336,9.761,10.185,10.609,11.034,11.458,11.883,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.587,1.174,1.762,2.349,2.936,3.523,4.111,4.698,5.285,5.872,4.333,1.971,0.000,0.000,0.000,0.000,
HGV emission cost [m£/year],24.482,24.836,25.155,25.440,25.690,25.906,26.088,26.235,26.347,25.811,25.270,24.725,24.175,23.302,22.422,21.536,20.642,19.742,19.527,19.656,19.786,19.917,20.047,20.783,21.758,22.518,22.162,21.803,21.442,
   Diesel,24.433,23.236,21.899,20.422,18.806,17.050,15.154,13.119,10.944,8.429,5.896,3.344,0.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Petrol,0.022,0.697,1.417,2.183,2.995,3.852,4.756,5.705,6.699,7.560,8.426,9.299,10.177,8.930,6.893,4.842,2.777,0.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,0.000,0.184,0.379,0.588,0.809,1.042,1.288,1.546,1.817,2.051,2.287,2.525,2.764,3.005,3.247,3.491,3.737,3.984,3.527,2.712,1.891,1.065,0.233,0.000,0.000,0.000,0.000,0.000,0.000,
   Other fuel,0.027,0.702,1.422,2.188,3.000,3.858,4.761,5.711,6.705,7.566,8.432,9.305,10.183,11.067,11.957,12.853,13.755,14.663,15.577,16.496,17.422,18.353,19.291,20.234,21.183,21.916,21.534,21.150,20.762,
   Electric,0.000,0.018,0.038,0.059,0.081,0.104,0.129,0.154,0.182,0.205,0.228,0.252,0.276,0.300,0.324,0.349,0.373,0.398,0.423,0.448,0.473,0.498,0.524,0.550,0.575,0.601,0.627,0.654,0.680,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
HGV total cost [m£/year],82.620,81.199,79.742,78.252,76.727,75.167,73.573,71.945,70.282,67.971,65.655,63.334,61.009,58.522,56.086,53.643,51.193,48.736,47.445,46.739,46.033,45.328,44.623,44.015,43.449,42.959,42.824,42.687,42.546,
Net specific cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,1.046,1.057,1.068,1.079,1.090,1.100,1.111,1.122,1.133,1.135,1.136,1.137,1.139,1.140,1.142,1.143,1.144,1.146,1.147,1.149,1.150,1.151,1.153,1.154,1.156,1.157,1.158,1.160,1.161,
   Petrol,1.016,1.027,1.038,1.049,1.060,1.071,1.082,1.093,1.103,1.105,1.106,1.108,1.109,1.111,1.112,1.113,1.115,1.116,1.118,1.119,1.120,1.122,1.123,1.125,1.126,1.127,1.129,1.130,1.132,
   HEV,0.722,0.727,0.733,0.738,0.744,0.749,0.755,0.760,0.766,0.767,0.767,0.768,0.769,0.769,0.770,0.771,0.772,0.772,0.773,0.774,0.774,0.775,0.776,0.777,0.777,0.778,0.779,0.779,0.780,
   Other fuel,0.499,0.509,0.520,0.531,0.542,0.553,0.564,0.575,0.586,0.587,0.588,0.590,0.591,0.593,0.594,0.595,0.597,0.598,0.600,0.601,0.603,0.604,0.605,0.607,0.608,0.610,0.611,0.612,0.614,
   Electric,0.410,0.411,0.411,0.412,0.412,0.413,0.414,0.414,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.416,0.416,0.416,0.416,0.416,0.416,0.416,0.416,0.416,0.416,0.416,
   Hydrogen,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,
